imdb_id,star,genre,runtime,user,critc,dir_popu,ac1_popu,ac2_popu,ac3_popu,total_box_office,n_of_posters,opening_box_office,year,budget_mixed
tt0120841,4.3,Action,93,160,95,2.134353,11.253294,6.286162,4.935124,26817565,19,7274008,1998,35000000
tt0118966,6.1,Action,100,80,56,1.000056,4.235429,3.443928,5.20473,13678274,12,5833412,1998,50000000
tt0120873,6.5,Action,131,144,95,1.051027,12.417972,4.548112,16.893867,57833603,32,16863988,1998,60000000
tt0120787,6.5,Crime,107,201,67,1.12,4.600271,3.739935,8.405778,67658331,18,16615704,1998,60000000
tt0120762,7.6,Animation,88,239,148,1.050425,7.172973,9.001241,3.602944,303500000,51,22745143,1998,90000000
tt0162710,7.2,Comedy,89,127,17,1.000184,1.117281,1.179406,1.979961,2049595,6,118594,1999,450000
tt0133117,6.5,Drama,107,6,3,1.00001,1.004504,1.0108,3.427741,10508,1,6018,1999,700000
tt0155713,7,Comedy,95,19,15,1.036,1.0504,1,1.002667,19319,2,8742,1999,1070000
tt0162973,7.6,Comedy,108,148,24,1.000004,1.098784,1.000157,1.000572,1152411,5,54254,1999,2000000
tt0160338,6,Drama,104,61,41,1.000001,2.244869,3.93402,2.245287,668099,3,54145,1999,2600000
tt0125659,7.8,Drama,117,217,89,1.031685,1.799936,6.28152,1.003127,370720,17,38289,1999,2900000
tt0156887,7.9,Animation,81,162,106,1.046009,1.000003,1.571116,1,99389,17,9600,1999,3000000
tt0049408,7.5,Biography,133,92,37,1.654046,3.287159,2.396213,1.660152,12064440,20,4007565,1999,4550000
tt0129136,4.9,Crime,95,21,9,1.12,7.129775,2.866589,9.968347,9122,9,4332,1999,6000000
tt0093437,7.3,Comedy,97,359,160,2.086373,3.213205,1.733271,2.298766,2930,36,1284,1999,8500000
tt0120731,8.1,Drama,170,248,70,2.702575,3.54968,1.567091,1.106379,262933,16,39200,1999,9000000
tt0119054,6.3,Comedy,92,66,12,1.56,1.156,4.268241,1.00001,26347,3,9090,1999,10000000
tt0174204,4.5,Drama,106,43,58,1.036,2.091106,6.54252,5.922146,902144,1,4960,1999,10000000
tt0126250,6.9,Comedy,118,113,102,2.695625,3.635871,6.696419,5.916078,10920544,12,186828,1999,10000000
tt0140379,6.5,Comedy,116,226,95,1.456709,6.028414,4.666956,6.682871,25011645,11,4285620,1999,11000000
tt0123221,5.6,Comedy,115,23,20,3.111844,3.443928,3.134317,1.338006,427957,4,247585,1999,12000000
tt0136244,6.1,Adventure,98,80,61,1.000031,8.159558,1.002992,2.530035,4976099,3,82431,1999,12000000
tt0299981,3.1,Action,86,134,35,2.113179,1.459463,2.278169,1.014061,1956822,14,16821,1999,13000000
tt0133046,5.2,Comedy,96,165,65,1.639995,5.222081,1.986948,4.848648,8959883,10,3326870,1999,13000000
tt0119079,6.9,Drama,104,70,32,1.00889,8.275229,5.916078,3.125206,183821,6,8855,1999,14000000
tt0119219,5.7,Comedy,102,53,59,1.523386,3.670424,8.71363,3.851806,1940299,7,1011175,1999,20000000
tt0124315,7.4,Drama,126,448,144,2.070234,4.54697,18.351039,6.24518,88547209,20,110098,1999,24000000
tt0151738,6,Comedy,107,349,99,1.057068,7.223705,2.235103,1.66842,55474757,24,11836707,1999,25000000
tt0166943,6.8,Drama,124,127,80,2.397256,6.42216,4.372791,1.036,14849583,6,3653281,1999,27000000
tt0128239,6,Biography,117,56,31,3.665869,10.200669,1.000001,1.003222,314505,6,162360,1999,30000000
tt0123209,6.5,Comedy,130,167,50,2.626826,3.589464,4.073776,4.699463,27807627,4,6624445,1999,35000000
tt0120757,4.2,Action,92,104,62,1.018841,4.262277,1.767234,4.699463,15415361,8,6064716,1999,50000000
tt0141098,5.4,Comedy,105,187,94,1.000542,9.015756,10.713996,8.817073,93957800,16,13510728,1999,75000000
tt0204350,5.2,Comedy,85,36,11,1.00001,8.375867,1.459933,1.000265,3366,4,1813,2000,1200000
tt0037884,8,Drama,101,147,103,2.053531,2.662403,2.702508,1.000063,31043,22,16266,2000,1250000
tt1131749,4.4,Drama,95,17,10,1.029635,1.50661,3.56733,1.927,2838,5,933,2000,1999000
tt0144142,5.2,Comedy,98,39,42,1.0008,4.610231,3.124729,2.835963,31844,5,11452,2000,3000000
tt0188030,7.6,Drama,96,47,48,1.307898,1.064662,1.064966,1.001905,2086098,10,31253,2000,3000000
tt0222012,8,Crime,199,50,10,1.23431,1.23431,1.730492,1.92223,274675,3,169402,2000,3900000
tt0220100,6.2,Drama,97,146,49,1.343532,3.257304,5.950267,7.350589,1057750,4,93148,2000,4000000
tt0151150,6.2,Action,162,10,1,1.002945,1.730492,4.607151,1.000302,426318,2,282881,2000,6900000
tt0189584,6.6,Drama,90,157,56,1,6.046683,7.593723,1.934175,3713451,4,80957,2000,7000000
tt0127349,6.7,Drama,105,110,44,1.502938,4.102336,1,1.019051,327418,3,150422,2000,8500000
tt0018773,8.1,Comedy,71,311,61,1,1,1.000095,1.071212,8406,22,8406,2000,9000000
tt0113026,5.7,Musical,86,71,23,1.000424,1.858707,1.856512,2.700371,44757,2,24176,2000,10000000
tt0170691,7,Drama,101,154,87,2.086373,4.444816,1.318501,2.301285,139500,20,26715,2000,10000000
tt0188160,6.4,Drama,118,13,48,1.000028,3.068406,1.12,1.276774,3434515,1,1611833,2000,10000000
tt0205271,4.6,Comedy,121,258,110,2.695625,4.694406,5.146455,3.653627,22796811,7,5012867,2000,12000000
tt0182295,6.1,Romance,93,103,61,6.279035,2.858337,4.22282,6.928275,284291,6,24496,2000,13000000
tt0164212,6.5,Crime,110,165,60,1.034703,10.631442,5.350723,5.294942,334245,16,109863,2000,25000000
tt0207201,6.4,Comedy,127,399,153,2.246565,5.186713,5.146455,4.828882,374105123,29,4399,2000,65000000
tt0111503,7.2,Action,141,364,96,4.863165,5.794537,4.762187,2.506664,61900,30,8232,2000,115000000
tt0275719,7.3,Drama,86,108,73,1.069275,6.419043,2.684602,6.171428,490475,4,28424,2001,100000
tt0049366,7.8,Drama,80,230,144,1.811089,1.595132,1.946317,1.336606,33565,12,19988,2001,417000
tt0284491,6.5,Crime,95,36,20,1.000021,6.28152,1.889211,1,77732,18,15271,2001,1200000
tt3612032,4.3,Horror,91,86,55,1.000361,1.734247,2.590898,2.205883,114657,13,37283,2001,1200000
tt0130827,7.7,Crime,81,714,186,1.399529,3.346804,2.241953,1.525442,103951,33,123643,2001,1530000
tt0244504,7.1,Comedy,104,15,41,1.06552,1.000001,1.000659,1.003782,323403,5,17750,2001,1900000
tt0228786,6.9,Crime,106,168,90,1.195206,12.536219,4.274035,1.000796,60132548,26,111026,2001,2365000
tt0256009,7.5,Drama,106,220,151,4.546367,2.354762,1.799936,1.910972,755249,27,34963,2001,4500000
tt0244479,7.3,War,112,86,48,1.156,1.466897,1.001035,2.381295,258215,8,12632,2001,5000000
tt0243655,6.7,Comedy,97,298,74,2.296212,3.388271,1.764646,1.000694,292102,6,17481,2001,5000000
tt0210070,6.8,Drama,108,327,143,1.172832,1.582275,6.293154,2.721644,572781,15,129939,2001,5000000
tt0169102,8.1,Adventure,224,254,70,1.021563,1.94243,1.000049,1.012436,835767,9,285368,2001,5200000
tt0120753,5.9,Drama,122,185,54,1.781427,1.731294,9.729485,5.186713,52526,10,29483,2001,8000000
tt0186589,5.6,Comedy,81,113,72,1.000004,4.528277,11.240572,2.81083,16880799,6,5891176,2001,11000000
